name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Something from Outer Space,Vibe Street,She Makes Me Feel EP,1lGJm1rNNaVYkNFzmksJRi,362608,False,spotify:track:1lGJm1rNNaVYkNFzmksJRi,Unknown,0.564,0.694,11,-8.197,0,0.229,0.125,0.048,0.278,0.776,184.084,4
Slow Blues - Instrumental,Wu-Tang Clan,Wu-Tang Meets The Indie Culture Instrumentals,3fQzTeYA61gdP4XN9vK7rb,293826,False,spotify:track:3fQzTeYA61gdP4XN9vK7rb,Unknown,0.699,0.676,7,-5.837,1,0.0935,0.00023,0.971,0.0368,0.869,82.53,4
Cooking Up Something Good,Mac DeMarco,2,0sXE78JmUFQCZNl4TQHjjp,161013,False,spotify:track:0sXE78JmUFQCZNl4TQHjjp,Unknown,0.749,0.433,7,-7.646,1,0.0314,0.0702,0.00185,0.148,0.807,98.142,3
You Don't Have To Worry - Guts Remix,Doris,You Don't Have To Worry,3hHDrmXL8i9MC64pM5YaHr,290752,False,spotify:track:3hHDrmXL8i9MC64pM5YaHr,Unknown,0.704,0.509,1,-9.149,0,0.0277,0.0164,0.517,0.161,0.452,164.034,4
Tennessee Jed,Levon Helm,Electric Dirt,1UR7rr3oZgM8TeuWJfLa64,358706,False,spotify:track:1UR7rr3oZgM8TeuWJfLa64,Unknown,0.635,0.765,0,-5.78,1,0.0339,0.527,1.53e-06,0.136,0.742,132.634,4
I'm Glad,Captain Beefheart & His Magic Band,Safe As Milk,6vcF9napv3kwm8rSb4O2si,210400,False,spotify:track:6vcF9napv3kwm8rSb4O2si,Unknown,0.366,0.407,2,-10.047,1,0.0265,0.887,0.263,0.114,0.351,148.436,3
Magic Mountain,Eric Burdon,The Best of Eric Burdon & War,2dV128mnCKya4K6ClAhw8e,258133,False,spotify:track:2dV128mnCKya4K6ClAhw8e,Unknown,0.627,0.796,9,-10.26,1,0.111,0.0776,0.00308,0.313,0.58,81.989,4
Over The Electric Grapevine,Primus,They Can't All Be Zingers,0bMGkJ7dQn4nt7wCclkuvf,383026,False,spotify:track:0bMGkJ7dQn4nt7wCclkuvf,Unknown,0.427,0.974,2,-4.878,1,0.105,0.000425,0.25,0.0854,0.295,167.079,4
Mu,Sun Ra,Atlantis,29gxfPSLfZybfheuCgnpGc,268213,False,spotify:track:29gxfPSLfZybfheuCgnpGc,Unknown,0.665,0.253,1,-17.222,1,0.0504,0.9,0.0618,0.131,0.559,121.151,4
Dreadlock Holiday,10cc,70's Pop,5AW06u82yN9agtQlINqny5,267746,False,spotify:track:5AW06u82yN9agtQlINqny5,Unknown,0.837,0.407,7,-12.416,0,0.0563,0.435,0.000487,0.174,0.922,105.013,4
Wrapped Around Your Finger - Remastered 2003,The Police,Synchronicity,57ljIAuzZgBSzHr3hLYzLZ,313706,False,spotify:track:57ljIAuzZgBSzHr3hLYzLZ,Unknown,0.742,0.444,9,-11.47,0,0.0351,0.0897,0.000329,0.0577,0.588,127.663,4
Coconut,Harry Nilsson,Personal Best: The Harry Nilsson Anthology,7eth0jUe6YneLljRNBeplO,227840,False,spotify:track:7eth0jUe6YneLljRNBeplO,Unknown,0.658,0.56,5,-13.085,1,0.0618,0.279,7.9e-06,0.0533,0.89,137.393,4
Home At Last,Steely Dan,Aja,2beIrUqv4VIyqqYhnajOyT,335666,False,spotify:track:2beIrUqv4VIyqqYhnajOyT,Unknown,0.597,0.579,7,-10.127,0,0.0397,0.0604,0.000848,0.0345,0.581,63.452,4
In the Summertime,Mungo Jerry,In the Summertime,4OT4AvPAq1o0rscVNdC20X,211880,False,spotify:track:4OT4AvPAq1o0rscVNdC20X,Unknown,0.754,0.449,4,-14.013,1,0.0615,0.724,0,0.162,0.973,82.751,4
Walking On The Moon,The Police,The Very Best Of Sting And The Police,275KAjHjZOtnTVWZ2Kcr7k,301813,False,spotify:track:275KAjHjZOtnTVWZ2Kcr7k,Unknown,0.658,0.355,2,-13.634,0,0.0405,0.00638,0.00598,0.228,0.417,145.928,4
Loner,Ekoostik Hookah,Dubbabuddah,0wn8Vb8HZ26THkoVJfxfKl,399800,False,spotify:track:0wn8Vb8HZ26THkoVJfxfKl,Unknown,0.544,0.688,0,-8.593,1,0.0299,0.118,0.00148,0.158,0.703,99.709,4
Cold Canary Gaslight,Marty O'Reilly & the Old Soul Orchestra,Pray for Rain,2S6hFFkVmG8FpjWCFrfKRI,284080,False,spotify:track:2S6hFFkVmG8FpjWCFrfKRI,Unknown,0.487,0.317,7,-8.567,1,0.033,0.77,0.000137,0.107,0.291,139.628,4
BKNY (feat. Old Money),Fat Tony,Smart Ass Black Boy,3ORwg4gsOSph3mxcLHqFX3,261278,False,spotify:track:3ORwg4gsOSph3mxcLHqFX3,Unknown,0.388,0.83,9,-3.808,1,0.109,0.00803,0.184,0.208,0.489,141.626,4
Powa,Tune-Yards,W H O K I L L,1NjmSXMzvwoM3lHmDRcUfs,303800,False,spotify:track:1NjmSXMzvwoM3lHmDRcUfs,Unknown,0.753,0.315,5,-7.458,1,0.0323,0.677,7.66e-05,0.129,0.524,109.613,4
Reggaemylitis - 2002 Remaster,Peter Tosh,Wanted Dread and Alive,6wvEQaHAz2FA6ismjpx5xR,395013,False,spotify:track:6wvEQaHAz2FA6ismjpx5xR,Unknown,0.824,0.543,8,-7.183,1,0.077,0.107,0.0916,0.0857,0.85,72.694,4
Promise Land,The O'My's,A Humble Masterpiece,0mjuOcE5PGGFjTRJ8Bzlk0,224739,False,spotify:track:0mjuOcE5PGGFjTRJ8Bzlk0,Unknown,0.648,0.548,3,-8.291,1,0.0359,0.613,0.0646,0.171,0.83,86.49,4
Water No Get Enemy - Edit,Fela Kuti,Best of The Black President,43ile6cBzr9uaC4bJf6J3N,591706,False,spotify:track:43ile6cBzr9uaC4bJf6J3N,Unknown,0.641,0.924,10,-7.697,0,0.0578,0.107,0.0269,0.0982,0.891,90.858,4
Stormy Weather,Great Dane,Alpha Dog,2eq8H9x15VZwD8318IZH1m,173913,False,spotify:track:2eq8H9x15VZwD8318IZH1m,Unknown,0.477,0.722,7,-7.669,1,0.24,0.0219,0.000529,0.112,0.257,85.739,4
J.R. (Just Right),Bootsy Collins' New Rubber Band,Blasters of the Universe,1rSs4YZ2G1Jbr3O6Zl8xNA,408333,False,spotify:track:1rSs4YZ2G1Jbr3O6Zl8xNA,Unknown,0.723,0.517,1,-13.492,1,0.0643,0.0097,0.421,0.885,0.583,99.87,4
Atomic Dog,George Clinton,Computer Games,4cgodXjv4TfrooNQxvlO4O,287106,False,spotify:track:4cgodXjv4TfrooNQxvlO4O,Unknown,0.899,0.491,6,-11.043,0,0.258,0.148,3.82e-06,0.411,0.826,107.706,4
